Data set,Basic BST,RB-Tree,Splay Tree
set1/data_1,0,0,0
set1/data_2,0,0,0
set1/data_3,0,1,0
set2/data_1,3,0,0
set2/data_2,6,0,0
set2/data_3,14,0,0
